Transcript_Chr	Transcript_Start	Transcript_End	Strand	log2FoldChange	logCPM	P-value	FDR	DEG	Exposure	Sex	Stage	Transcript	Gene	Symbol	GeneType	TE_Chr	TE_Start	TE_End	TE_strand	subfamily	class	family	transcript_type
chr4	116000067	116000069	-	-2.272665235	0.489975673	5.28E-27	6.67E-25	TRUE	As	F	adt	ENSMUST00000133225.1	ENSMUSG00000034171.13	Faah	protein_coding	chr4	116000041	116000115	-	L3b	LINE	CR1	retained_intron
chr2	152322996	152322998	-	-3.603981492	0.383238269	3.13E-25	3.18E-23	TRUE	As	F	adt	ENSMUST00000130165.7	ENSMUSG00000027466.15	Rbck1	protein_coding	chr2	152322930	152323063	-	ID_B1	SINE	B4	retained_intron
chr7	45458798	45458800	-	-3.440220753	4.762572672	3.55E-24	3.17E-22	TRUE	As	F	adt	ENSMUST00000211694.1	ENSMUSG00000050708.16	Ftl1	protein_coding	chr7	45458751	45458866	+	B1_Mur1	SINE	Alu	retained_intron
chr9	21745322	21745324	+	-2.663327691	3.319493649	3.61E-24	3.22E-22	TRUE	As	F	adt	ENSMUST00000214549.1	ENSMUSG00000032193.9	Ldlr	protein_coding	chr9	21745234	21745369	+	B1_Mur2	SINE	Alu	retained_intron
chr13	97171448	97171450	+	-1.957629886	1.673239035	5.59E-23	4.30E-21	TRUE	As	F	adt	ENSMUST00000159321.1	ENSMUSG00000021666.16	Gfm2	protein_coding	chr13	97171439	97171481	-	L1MEd	LINE	L1	retained_intron
chr8	121797427	121797429	-	-3.252073315	-1.076163624	4.42E-22	3.17E-20	TRUE	As	F	adt	ENSMUST00000174206.1	ENSMUSG00000040263.16	Klhdc4	protein_coding	chr8	121797348	121797469	+	B1_Mur1	SINE	Alu	retained_intron
chr14	54297342	54297344	-	-2.636019177	5.340154164	5.75E-22	4.06E-20	TRUE	As	F	adt	ENSMUST00000199958.1	ENSMUSG00000105703.2	Gm43305	processed_transcript	chr14	54297341	54297635	-	RLTR4_Mm	LTR	ERV1	retained_intron
chr2	5035902	5035904	-	-2.856737777	1.136118981	2.89E-21	1.88E-19	TRUE	As	F	adt	ENSMUST00000125203.7	ENSMUSG00000026672.11	Optn	protein_coding	chr2	5035802	5035920	+	ID_B1	SINE	B4	processed_transcript
chr6	72123196	72123198	-	-2.668665481	-1.578360036	6.15E-21	3.82E-19	TRUE	As	F	adt	ENSMUST00000205571.1	ENSMUSG00000108709.1	4933431G14Rik	antisense	chr6	72121795	72123340	-	RLTR19-int	LTR	ERVK	antisense
chr5	150648260	150648262	-	-2.253596917	-0.415866429	7.85E-21	4.84E-19	TRUE	As	F	adt	ENSMUST00000201384.1	ENSMUSG00000029655.17	N4bp2l2	protein_coding	chr5	150648204	150648357	-	B1_Mus2	SINE	Alu	retained_intron
chr4	123297179	123297181	+	-2.552917644	0.004711395	1.96E-20	1.15E-18	TRUE	As	F	adt	ENSMUST00000146156.1	ENSMUSG00000011257.19	Pabpc4	protein_coding	chr4	123297158	123297241	+	ID_B1	SINE	B4	retained_intron
chr11	32217316	32217318	-	-2.733045581	-1.174822735	5.21E-20	2.93E-18	TRUE	As	F	adt	ENSMUST00000143036.7	ENSMUSG00000020282.18	Rhbdf1	protein_coding	chr11	32217290	32217431	+	B1_Mur2	SINE	Alu	retained_intron
chr12	76569775	76569777	+	-2.567869606	0.673201423	7.73E-20	4.27E-18	TRUE	As	F	adt	ENSMUST00000219426.1	ENSMUSG00000052609.9	Plekhg3	protein_coding	chr12	76569638	76569791	+	B2_Mm2	SINE	B2	retained_intron
chr17	24722905	24722907	-	-3.742830611	1.325682917	1.18E-19	6.40E-18	TRUE	As	F	adt	ENSMUST00000144285.1	ENSMUSG00000040048.14	Ndufb10	protein_coding	chr17	24722869	24723008	+	B1_Mus2	SINE	Alu	retained_intron
chr18	44827745	44827747	+	-1.829729228	2.348180916	1.27E-19	6.87E-18	TRUE	As	F	adt	ENSMUST00000037763.10	ENSMUSG00000034653.11	Ythdc2	protein_coding	chr18	44827733	44827860	-	B1_Mur4	SINE	Alu	protein_coding
chr17	24638175	24638177	+	-2.835144616	-2.224722364	2.18E-19	1.15E-17	TRUE	As	F	adt	ENSMUST00000234888.1	ENSMUSG00000041429.3	Nthl1	protein_coding	chr17	24638099	24638236	+	B1_Mus1	SINE	Alu	retained_intron
chr11	100596707	100596709	-	-2.373018836	-1.088636991	4.97E-19	2.51E-17	TRUE	As	F	adt	ENSMUST00000148098.1	ENSMUSG00000014195.15	Dnajc7	protein_coding	chr11	100596637	100596712	+	PB1D10	SINE	Alu	processed_transcript
chr16	23192149	23192151	+	-0.964607783	4.210773137	5.36E-19	2.69E-17	FALSE	As	F	adt	ENSMUST00000232062.1	ENSMUSG00000068463.4	B630019A10Rik	antisense	chr16	23191707	23192250	-	Lx8	LINE	L1	antisense
chrX	106019390	106019392	+	-1.479942188	5.051237652	1.06E-18	5.12E-17	TRUE	As	F	adt	ENSMUST00000155377.1	ENSMUSG00000031231.4	Cox7b	protein_coding	chrX	106019315	106019462	-	B1_Mus1	SINE	Alu	retained_intron
chr10	128203255	128203257	+	-2.230558638	-1.524634046	2.41E-18	1.12E-16	TRUE	As	F	adt	ENSMUST00000134461.1	ENSMUSG00000044005.13	Gls2	protein_coding	chr10	128203235	128203290	+	ID_B1	SINE	B4	retained_intron
chr14	55582423	55582425	-	-2.738637346	-2.121751431	4.13E-18	1.85E-16	TRUE	As	F	adt	ENSMUST00000173169.1	ENSMUSG00000022217.14	Emc9	protein_coding	chr14	55582360	55582533	+	B3	SINE	B2	retained_intron
chr7	140906082	140906084	+	-1.32024984	4.396394063	4.80E-18	2.15E-16	TRUE	As	F	adt	ENSMUST00000209496.1	ENSMUSG00000109628.1	BC024386	processed_transcript	chr7	140905955	140906320	+	MLT2D	LTR	ERVL	lincRNA
chr3	51231916	51231918	+	-2.7213032	-1.285529628	7.92E-18	3.44E-16	TRUE	As	F	adt	ENSMUST00000195382.1	ENSMUSG00000103313.1	Gm38357	TEC	chr3	51231913	51232132	-	B3	SINE	B2	TEC
chr12	78261292	78261294	+	-2.705933813	-1.661208553	1.59E-17	6.62E-16	TRUE	As	F	adt	ENSMUST00000217986.1	ENSMUSG00000112637.1	Gm48225	TEC	chr12	78260383	78261380	+	L1Md_F2	LINE	L1	TEC
chr7	140860641	140860643	+	-2.425125766	-0.007160247	1.70E-17	7.04E-16	TRUE	As	F	adt	ENSMUST00000131850.1	ENSMUSG00000025485.13	Ric8a	protein_coding	chr7	140860618	140860703	-	ID_B1	SINE	B4	retained_intron
chr15	10717850	10717852	+	-2.746904705	-0.215209961	3.14E-17	1.27E-15	TRUE	As	F	adt	ENSMUST00000181739.2	ENSMUSG00000096971.2	4930556M19Rik	processed_transcript	chr15	10717711	10718018	+	ORR1F	LTR	ERVL-MaLR	retained_intron
chr5	116438719	116438721	+	-1.949937409	-0.547012452	4.16E-17	1.64E-15	TRUE	As	F	adt	ENSMUST00000126959.4	ENSMUSG00000086219.7	Srrm4os	antisense	chr5	116438612	116439029	+	RLTR11A	LTR	ERVK	antisense
chr7	140906041	140906043	+	-1.381711109	2.916796499	4.49E-17	1.77E-15	TRUE	As	F	adt	ENSMUST00000209842.1	ENSMUSG00000109628.1	BC024386	processed_transcript	chr7	140905955	140906320	+	MLT2D	LTR	ERVL	lincRNA
chr9	108946164	108946166	+	-1.056625322	2.286637705	5.97E-17	2.32E-15	TRUE	As	F	adt	ENSMUST00000193332.1	ENSMUSG00000025651.14	Uqcrc1	protein_coding	chr9	108946096	108946229	-	RSINE1	SINE	B4	retained_intron
chr8	84831521	84831523	+	-0.623094203	5.52351128	6.32E-17	2.44E-15	FALSE	As	F	adt	ENSMUST00000036734.5	ENSMUSG00000033751.5	Gadd45gip1	protein_coding	chr8	84831514	84831658	-	B1_Mur4	SINE	Alu	protein_coding
chr3	94962047	94962049	-	-2.667038714	-2.762673982	3.86E-16	1.37E-14	TRUE	As	F	adt	ENSMUST00000125186.1	ENSMUSG00000087660.1	B230398E01Rik	antisense	chr3	94961997	94962144	-	B1_Mus2	SINE	Alu	antisense
chr8	41218138	41218140	+	-2.480975554	-0.33002454	3.92E-16	1.39E-14	TRUE	As	F	adt	ENSMUST00000146654.1	ENSMUSG00000085445.1	Gm16348	processed_transcript	chr8	41217632	41218160	-	RLTR20B3A_MM	LTR	ERVK	processed_transcript
chr5	123172910	123172912	-	-3.640208557	2.25220979	3.98E-16	1.41E-14	TRUE	As	F	adt	ENSMUST00000155092.1	ENSMUSG00000029445.13	Hpd	protein_coding	chr5	123172851	123172922	+	B1_Mur1	SINE	Alu	processed_transcript
chr10	80636164	80636166	+	-1.575523878	0.896842475	8.73E-16	2.98E-14	TRUE	As	F	adt	ENSMUST00000217902.1	ENSMUSG00000003345.16	Csnk1g2	protein_coding	chr10	80636141	80636347	-	B3	SINE	B2	retained_intron
chr12	69977882	69977884	-	-2.706422108	-0.468606843	1.01E-15	3.43E-14	TRUE	As	F	adt	ENSMUST00000220735.1	ENSMUSG00000021067.8	Sav1	protein_coding	chr12	69977846	69978953	+	L1_Mus3	LINE	L1	retained_intron
chr5	117130322	117130324	+	-2.165888108	-1.603766019	1.66E-15	5.47E-14	TRUE	As	F	adt	ENSMUST00000202206.1	ENSMUSG00000107225.1	Gm43637	TEC	chr5	117130261	117130464	+	B4A	SINE	B4	TEC
chr13	96081375	96081377	-	-1.236109077	2.810183184	2.47E-15	7.96E-14	TRUE	As	F	adt	ENSMUST00000220449.1	ENSMUSG00000114133.1	Gm20075	protein_coding	chr13	96081372	96082017	+	Lx	LINE	L1	protein_coding
chr6	38559214	38559216	+	-1.941941436	0.079562074	3.39E-15	1.07E-13	TRUE	As	F	adt	ENSMUST00000162530.1	ENSMUSG00000029823.16	Luc7l2	protein_coding	chr6	38559054	38559476	-	Tigger10	DNA	TcMar-Tigger	retained_intron
chr1	16102081	16102083	-	-1.567063596	2.762047701	4.80E-15	1.49E-13	TRUE	As	F	adt	ENSMUST00000140597.7	ENSMUSG00000043716.13	Rpl7	protein_coding	chr1	16102016	16102110	+	PB1D9	SINE	Alu	processed_transcript
chr9	15316205	15316207	+	-2.511647906	-0.356337647	5.14E-15	1.59E-13	TRUE	As	F	adt	ENSMUST00000214045.1	ENSMUSG00000031939.16	Taf1d	protein_coding	chr9	15316098	15316243	+	B1_Mus1	SINE	Alu	processed_transcript
chr5	122395813	122395815	+	-3.773326581	2.323336564	7.58E-15	2.29E-13	TRUE	As	F	adt	ENSMUST00000031421.11	ENSMUSG00000029465.14	Arpc3	protein_coding	chr5	122395753	122396147	-	MTA_Mm	LTR	ERVL-MaLR	protein_coding
chr16	4771511	4771513	-	-1.886327788	2.126459341	2.62E-14	7.44E-13	TRUE	As	F	adt	ENSMUST00000140187.7	ENSMUSG00000004071.13	Cdip1	protein_coding	chr16	4771475	4771574	-	PB1D10	SINE	Alu	retained_intron
chr17	84139840	84139842	-	-1.309029691	2.599905236	2.63E-14	7.48E-13	TRUE	As	F	adt	ENSMUST00000234741.1	ENSMUSG00000117485.1	AC132455.2	lincRNA	chr17	84139639	84140034	-	MTA_Mm	LTR	ERVL-MaLR	lincRNA
chr16	30549945	30549947	-	-4.071892496	-1.395617034	3.13E-14	8.83E-13	TRUE	As	F	adt	ENSMUST00000144491.7	ENSMUSG00000022537.18	Tmem44	protein_coding	chr16	30549936	30550139	-	MIRb	SINE	MIR	retained_intron
chr4	123684359	123684361	-	-4.320890067	1.515349608	3.95E-14	1.10E-12	TRUE	As	F	adt	ENSMUST00000097897.10	ENSMUSG00000028649.18	Macf1	protein_coding	chr4	123684303	123684375	+	MIRb	SINE	MIR	protein_coding
chr7	67579749	67579751	-	-3.515894764	1.233351242	4.12E-14	1.14E-12	TRUE	As	F	adt	ENSMUST00000190115.6	ENSMUSG00000030556.13	Lrrc28	protein_coding	chr7	67579233	67580601	+	Lx7	LINE	L1	processed_transcript
chr3	152227304	152227306	+	-2.096214129	-1.516123951	6.91E-14	1.87E-12	TRUE	As	F	adt	ENSMUST00000198046.1	ENSMUSG00000028034.15	Fubp1	protein_coding	chr3	152227278	152227379	-	L1MC4	LINE	L1	retained_intron
chr8	121833246	121833248	+	-2.303837578	-0.507527247	7.37E-14	1.98E-12	TRUE	As	F	adt	ENSMUST00000212158.1	ENSMUSG00000110631.1	Gm42047	lincRNA	chr8	121832844	121833274	+	MMERGLN_LTR	LTR	ERV1	lincRNA
chr12	84368425	84368427	+	-3.301632525	0.382019543	2.03E-13	5.16E-12	TRUE	As	F	adt	ENSMUST00000126913.7	ENSMUSG00000021235.13	Coq6	protein_coding	chr12	84368348	84368437	-	PB1D10	SINE	Alu	processed_transcript
chr12	65051110	65051112	+	-1.84385154	-0.787936856	2.11E-13	5.34E-12	TRUE	As	F	adt	ENSMUST00000220729.1	ENSMUSG00000035597.19	Prpf39	protein_coding	chr12	65050990	65051132	-	B1_Mm	SINE	Alu	retained_intron
chr10	80253314	80253316	+	-1.711046801	-0.508555886	2.36E-13	5.91E-12	TRUE	As	F	adt	ENSMUST00000155336.1	ENSMUSG00000020153.14	Ndufs7	protein_coding	chr10	80253228	80253411	-	B2_Mm1a	SINE	B2	retained_intron
chr14	70311239	70311241	-	-1.982309088	0.000833051	4.00E-13	9.70E-12	TRUE	As	F	adt	ENSMUST00000155825.1	ENSMUSG00000022094.15	Slc39a14	protein_coding	chr14	70311186	70311266	-	ID4_	SINE	ID	retained_intron
chr5	107906621	107906623	+	-1.427015759	1.488040192	4.04E-13	9.80E-12	TRUE	As	F	adt	ENSMUST00000151767.1	ENSMUSG00000058558.12	Rpl5	protein_coding	chr5	107906523	107906655	-	B1_Mus2	SINE	Alu	retained_intron
chr6	49082584	49082586	+	-2.221568164	0.758291506	4.89E-13	1.16E-11	TRUE	As	F	adt	ENSMUST00000139726.1	ENSMUSG00000029815.12	Malsu1	protein_coding	chr6	49082496	49082658	-	L1_Rod	LINE	L1	retained_intron
chrX	73447278	73447280	-	-2.523456938	-0.583897402	5.46E-13	1.29E-11	TRUE	As	F	adt	ENSMUST00000131140.1	ENSMUSG00000031371.14	Haus7	protein_coding	chrX	73447277	73447452	+	B2_Mm2	SINE	B2	processed_transcript
chr7	45126536	45126538	-	-1.620436899	0.918523149	7.23E-13	1.68E-11	TRUE	As	F	adt	ENSMUST00000210931.2	ENSMUSG00000074129.14	Rpl13a	protein_coding	chr7	45126498	45126564	-	MIRb	SINE	MIR	protein_coding
chr17	39843012	39843014	+	-1.266617022	8.791506618	7.49E-13	1.73E-11	TRUE	As	F	adt	ENSMUST00000192833.1	ENSMUSG00000097971.3	Gm26917	lincRNA	chr17	39842997	39843163	+	FordPrefect	DNA	hAT-Tip100	lincRNA
chr9	44789443	44789445	+	-2.198910755	-0.769086483	1.32E-12	2.98E-11	TRUE	As	F	adt	ENSMUST00000149020.2	ENSMUSG00000002031.12	Ift46	protein_coding	chr9	44789391	44789519	-	B1_Mur1	SINE	Alu	retained_intron
chr9	44789443	44789445	+	-2.198910755	-0.769086483	1.32E-12	2.98E-11	TRUE	As	F	adt	ENSMUST00000149020.2	ENSMUSG00000002031.12	Ift46	protein_coding	chr9	44789392	44789546	-	B4	SINE	B4	retained_intron
chr14	34287358	34287360	-	-2.024004349	0.953908969	2.53E-12	5.50E-11	TRUE	As	F	adt	ENSMUST00000228626.1	ENSMUSG00000041471.9	Shld2	protein_coding	chr14	34287265	34287647	+	MTC	LTR	ERVL-MaLR	protein_coding
chr6	141652254	141652256	+	-1.497011316	0.689032788	3.88E-12	8.26E-11	TRUE	As	F	adt	ENSMUST00000162675.1	ENSMUSG00000030236.10	Slco1b2	protein_coding	chr6	141652132	141652270	-	B1_Mur3	SINE	Alu	retained_intron
chr6	120802421	120802423	-	-1.211457658	0.525998512	5.26E-12	1.10E-10	TRUE	As	F	adt	ENSMUST00000203527.1	ENSMUSG00000019210.10	Atp6v1e1	protein_coding	chr6	120802372	120802464	+	B1_Mur1	SINE	Alu	retained_intron
chr1	60105343	60105345	+	-1.154659898	1.538564651	5.76E-12	1.19E-10	TRUE	As	F	adt	ENSMUST00000187978.6	ENSMUSG00000026017.13	Carf	protein_coding	chr1	60105292	60105617	-	MER74A	LTR	ERVL	protein_coding
chr16	56182467	56182469	+	-2.638045558	-1.280504904	6.96E-12	1.42E-10	TRUE	As	F	adt	ENSMUST00000202272.3	ENSMUSG00000052917.15	Senp7	protein_coding	chr16	56181339	56183497	+	ORR1A4-int	LTR	ERVL-MaLR	retained_intron
chr7	68275097	68275099	-	-0.929439281	3.200835006	1.02E-11	2.03E-10	FALSE	As	F	adt	ENSMUST00000135564.7	ENSMUSG00000086628.7	Gm16157	antisense	chr7	68275057	68275103	-	FAM	SINE	Alu	antisense
chr13	74324255	74324257	-	-2.197993984	1.63469424	1.14E-11	2.25E-10	TRUE	As	F	adt	ENSMUST00000161434.1	ENSMUSG00000021577.14	Sdha	protein_coding	chr13	74324225	74324353	-	B1_Mus1	SINE	Alu	retained_intron
chr1	181813457	181813459	+	-2.121794752	-1.744302718	1.78E-11	3.43E-10	TRUE	As	F	adt	ENSMUST00000195808.1	ENSMUSG00000047369.15	Dnah14	protein_coding	chr1	181813062	181813605	-	L1_Mus1	LINE	L1	retained_intron
chr17	24721448	24721450	+	-1.224603127	2.123081016	1.95E-11	3.74E-10	TRUE	As	F	adt	ENSMUST00000132803.1	ENSMUSG00000044533.15	Rps2	protein_coding	chr17	24721377	24721511	-	B1_Mus2	SINE	Alu	retained_intron
chr17	15478588	15478590	-	-1.02006894	1.312134431	3.56E-11	6.54E-10	TRUE	As	F	adt	ENSMUST00000231696.1	ENSMUSG00000014769.10	Psmb1	protein_coding	chr17	15478523	15478708	-	B3A	SINE	B2	processed_transcript
chr9	54902204	54902206	+	-1.632759988	-0.652688102	3.59E-11	6.60E-10	TRUE	As	F	adt	ENSMUST00000213482.1	ENSMUSG00000032293.8	Ireb2	protein_coding	chr9	54902020	54902224	-	L1MA4	LINE	L1	retained_intron
chr2	92184105	92184107	+	-3.351125854	-0.149318465	5.27E-11	9.42E-10	TRUE	As	F	adt	ENSMUST00000111294.7	ENSMUSG00000058318.15	Phf21a	protein_coding	chr2	92184056	92184137	+	RLTR31D_MM	LTR	ERVK	protein_coding
chr1	63117117	63117119	+	-1.352569588	0.632426614	6.48E-11	1.14E-09	TRUE	As	F	adt	ENSMUST00000185480.1	ENSMUSG00000101599.1	Gm20342	lincRNA	chr1	63116996	63117139	-	B1_Mus1	SINE	Alu	lincRNA
chr5	135373641	135373643	+	-3.177956578	-0.782002264	8.23E-11	1.43E-09	TRUE	As	F	adt	ENSMUST00000131863.7	ENSMUSG00000000916.15	Nsun5	protein_coding	chr5	135373531	135373715	+	B3A	SINE	B2	retained_intron
chr11	22978995	22978997	-	-2.5580722	0.92893947	8.40E-11	1.45E-09	TRUE	As	F	adt	ENSMUST00000057843.11	ENSMUSG00000051355.18	Commd1	protein_coding	chr11	22978936	22979043	+	PB1D9	SINE	Alu	protein_coding
chr14	46084027	46084029	+	-1.299365721	3.698039817	9.18E-11	1.58E-09	TRUE	As	F	adt	ENSMUST00000227415.1	ENSMUSG00000044285.8	Gm1821	transcribed_processed_pseudogene	chr14	46083574	46084029	+	L1Md_F2	LINE	L1	processed_transcript
chr12	105629628	105629630	-	-1.792300253	-0.417636719	9.41E-11	1.62E-09	TRUE	As	F	adt	ENSMUST00000220960.1	ENSMUSG00000041341.10	Atg2b	protein_coding	chr12	105629567	105630307	+	IAPEz-int	LTR	ERVK	retained_intron
chr6	83351039	83351041	+	-2.236427825	-0.114893814	1.43E-10	2.37E-09	TRUE	As	F	adt	ENSMUST00000055875.13	ENSMUSG00000045160.14	Bola3	protein_coding	chr6	83350819	83351055	+	B4	SINE	B4	retained_intron
chr6	66746016	66746018	+	-1.505310187	-0.118195454	1.74E-10	2.85E-09	TRUE	As	F	adt	ENSMUST00000204076.1	ENSMUSG00000108231.1	Gm4045	processed_pseudogene	chr6	66742606	66747792	+	L1Md_F2	LINE	L1	processed_pseudogene
chr4	125053150	125053152	+	-1.567537507	0.038751165	1.81E-10	2.95E-09	TRUE	As	F	adt	ENSMUST00000147550.1	ENSMUSG00000028869.13	Gnl2	protein_coding	chr4	125053128	125053202	-	ID4	SINE	ID	processed_transcript
chr13	100452863	100452865	-	-2.674499411	-1.320314078	2.68E-10	4.28E-09	TRUE	As	F	adt	ENSMUST00000222155.1	ENSMUSG00000021640.6	Naip1	protein_coding	chr13	100452728	100453032	-	ORR1E	LTR	ERVL-MaLR	protein_coding
chr8	3640836	3640838	+	-2.618971185	0.030113041	3.32E-10	5.22E-09	TRUE	As	F	adt	ENSMUST00000161629.7	ENSMUSG00000004626.14	Stxbp2	protein_coding	chr8	3640727	3640979	-	HAL1b	LINE	L1	retained_intron
chr16	26755501	26755503	-	-0.766904697	3.426833301	3.36E-10	5.27E-09	FALSE	As	F	adt	ENSMUST00000173291.1	ENSMUSG00000092545.7	Gm20319	antisense	chr16	26755078	26755591	+	RLTR11A2	LTR	ERVK	antisense
chr11	60811090	60811092	-	-1.90345941	1.133552795	3.69E-10	5.74E-09	TRUE	As	F	adt	ENSMUST00000173260.7	ENSMUSG00000020534.14	Shmt1	protein_coding	chr11	60811035	60811132	+	B1_Mus2	SINE	Alu	retained_intron
chr14	105114460	105114462	-	-1.480083085	0.264513178	3.89E-10	6.03E-09	TRUE	As	F	adt	ENSMUST00000164319.1	ENSMUSG00000091509.7	Gm17066	processed_transcript	chr14	105114453	105114585	-	L1MEg	LINE	L1	processed_transcript
chr10	18227472	18227474	-	-2.904817195	-0.306639919	4.52E-10	6.93E-09	TRUE	As	F	adt	ENSMUST00000174592.7	ENSMUSG00000059554.12	Ccdc28a	protein_coding	chr10	18227363	18227727	-	MTD	LTR	ERVL-MaLR	protein_coding
chr7	97575652	97575654	-	-3.232528698	-2.468062376	6.09E-10	9.21E-09	TRUE	As	F	adt	ENSMUST00000178078.7	ENSMUSG00000035642.16	Aamdc	protein_coding	chr7	97575561	97575706	+	ID_B1	SINE	B4	protein_coding
chr13	55552328	55552330	-	-2.021797236	-0.266908426	6.95E-10	1.04E-08	TRUE	As	F	adt	ENSMUST00000224486.1	ENSMUSG00000021495.9	Fam193b	protein_coding	chr13	55552216	55552360	+	B1_Mus2	SINE	Alu	retained_intron
chr3	95735017	95735019	-	-2.029680409	2.979651048	7.03E-10	1.05E-08	TRUE	As	F	adt	ENSMUST00000144958.1	ENSMUSG00000028108.15	Ecm1	protein_coding	chr3	95734973	95735086	+	PB1D7	SINE	Alu	retained_intron
chr7	27452417	27452419	+	-0.756616404	5.289516283	9.91E-10	1.45E-08	FALSE	As	F	adt	ENSMUST00000108357.7	ENSMUSG00000040466.16	Blvrb	protein_coding	chr7	27452338	27452460	-	B1_Mur4	SINE	Alu	protein_coding
chr13	55628280	55628282	+	-2.004418288	0.367005755	1.06E-09	1.54E-08	TRUE	As	F	adt	ENSMUST00000165154.1	ENSMUSG00000021501.4	Caml	protein_coding	chr13	55628069	55628283	-	URR1B	DNA	hAT-Charlie	retained_intron
chr18	61582843	61582845	+	-1.478261786	0.573008466	1.12E-09	1.63E-08	TRUE	As	F	adt	ENSMUST00000170482.1	ENSMUSG00000024576.14	Csnk1a1	protein_coding	chr18	61582770	61582860	+	B4A	SINE	B4	processed_transcript
chr2	90902685	90902687	-	-1.566144655	-0.109294116	1.55E-09	2.19E-08	TRUE	As	F	adt	ENSMUST00000123426.7	ENSMUSG00000005510.9	Ndufs3	protein_coding	chr2	90902593	90902792	-	URR1B	DNA	hAT-Charlie	processed_transcript
chr2	84476774	84476776	-	-2.585708486	0.051067958	2.16E-09	2.99E-08	TRUE	As	F	adt	ENSMUST00000090732.9	ENSMUSG00000027082.15	Tfpi	protein_coding	chr2	84476625	84476862	-	RLTR42	LTR	ERVK	protein_coding
chr17	71246030	71246032	+	-1.843676962	-0.467864046	2.84E-09	3.88E-08	TRUE	As	F	adt	ENSMUST00000125665.1	ENSMUSG00000024052.17	Lpin2	protein_coding	chr17	71245963	71246177	-	URR1A	DNA	hAT-Charlie	retained_intron
